   Epoch 040/250 ( 16.0%) | train loss 0.1648 acc  94.58% | test loss 0.3328 acc  88.88% | best  90.09% | lr 1.0e-03 | time  14.7s                               
   Epoch 041/250 ( 16.4%) | train loss 0.1567 acc  94.43% | test loss 0.3553 acc  88.77% | best  90.09% | lr 1.0e-03 | time  14.8s                               
   Epoch 042/250 ( 16.8%) | train loss 0.1536 acc  94.78% | test loss 0.3917 acc  86.89% | best  90.09% | lr 1.0e-03 | time  14.6s                               
⭐ Epoch 043/250 ( 17.2%) | train loss 0.1735 acc  93.88% | test loss 0.2983 acc  91.19% | best  91.19% | lr 1.0e-03 | time  14.7s                               
   Epoch 044/250 ( 17.6%) | train loss 0.1468 acc  94.86% | test loss 0.3758 acc  87.67% | best  91.19% | lr 1.0e-03 | time  14.6s                               
   Epoch 045/250 ( 18.0%) | train loss 0.1571 acc  94.56% | test loss 0.3718 acc  87.67% | best  91.19% | lr 1.0e-03 | time  14.5s                               
   Epoch 046/250 ( 18.4%) | train loss 0.1628 acc  94.28% | test loss 0.4404 acc  87.56% | best  91.19% | lr 1.0e-03 | time  14.5s                               
   Epoch 047/250 ( 18.8%) | train loss 0.1682 acc  94.13% | test loss 0.4639 acc  86.67% | best  91.19% | lr 1.0e-03 | time  14.7s                               
   Epoch 048/250 ( 19.2%) | train loss 0.1528 acc  94.61% | test loss 0.3223 acc  90.20% | best  91.19% | lr 1.0e-03 | time  14.6s                               
   Epoch 049/250 ( 19.6%) | train loss 0.1567 acc  94.46% | test loss 0.3936 acc  87.89% | best  91.19% | lr 1.0e-03 | time  14.2s                               
   Epoch 050/250 ( 20.0%) | train loss 0.1613 acc  94.83% | test loss 0.4131 acc  86.56% | best  91.19% | lr 1.0e-03 | time  14.2s                               
   Epoch 051/250 ( 20.4%) | train loss 0.1352 acc  95.19% | test loss 0.2931 acc  91.19% | best  91.19% | lr 7.0e-04 | time  14.2s                               
   Epoch 052/250 ( 20.8%) | train loss 0.1073 acc  96.24% | test loss 0.2951 acc  91.19% | best  91.19% | lr 7.0e-04 | time  14.1s                               
⭐ Epoch 053/250 ( 21.2%) | train loss 0.1134 acc  95.92% | test loss 0.3300 acc  91.52% | best  91.52% | lr 7.0e-04 | time  14.3s                               
   Epoch 054/250 ( 21.6%) | train loss 0.1093 acc  96.12% | test loss 0.3614 acc  90.75% | best  91.52% | lr 7.0e-04 | time  14.4s                               
   Epoch 055/250 ( 22.0%) | train loss 0.1068 acc  96.09% | test loss 0.3470 acc  90.09% | best  91.52% | lr 7.0e-04 | time  14.2s                               
   Epoch 056/250 ( 22.4%) | train loss 0.1079 acc  96.22% | test loss 0.3571 acc  89.76% | best  91.52% | lr 7.0e-04 | time  14.5s                               
   Epoch 057/250 ( 22.8%) | train loss 0.0936 acc  96.62% | test loss 0.2982 acc  90.86% | best  91.52% | lr 7.0e-04 | time  14.7s                               
   Epoch 058/250 ( 23.2%) | train loss 0.1072 acc  96.27% | test loss 0.3234 acc  89.76% | best  91.52% | lr 7.0e-04 | time  14.7s                               
   Epoch 059/250 ( 23.6%) | train loss 0.1027 acc  96.32% | test loss 0.3250 acc  89.54% | best  91.52% | lr 7.0e-04 | time  14.8s                               
   Epoch 060/250 ( 24.0%) | train loss 0.1011 acc  96.52% | test loss 0.3039 acc  90.64% | best  91.52% | lr 7.0e-04 | time  14.9s                               
   Epoch 061/250 ( 24.4%) | train loss 0.1005 acc  96.24% | test loss 0.3124 acc  89.76% | best  91.52% | lr 7.0e-04 | time  15.2s                               
   Epoch 062/250 ( 24.8%) | train loss 0.0947 acc  96.70% | test loss 0.3815 acc  87.78% | best  91.52% | lr 7.0e-04 | time  15.3s                               
   Epoch 063/250 ( 25.2%) | train loss 0.1033 acc  96.24% | test loss 0.3561 acc  89.87% | best  91.52% | lr 7.0e-04 | time  15.0s                               
   Epoch 064/250 ( 25.6%) | train loss 0.0989 acc  96.35% | test loss 0.3793 acc  89.65% | best  91.52% | lr 7.0e-04 | time  14.4s                               
   Epoch 065/250 ( 26.0%) | train loss 0.0946 acc  96.52% | test loss 0.3037 acc  91.08% | best  91.52% | lr 7.0e-04 | time  14.4s                               
   Epoch 066/250 ( 26.4%) | train loss 0.1129 acc  95.77% | test loss 0.3269 acc  90.42% | best  91.52% | lr 7.0e-04 | time  14.4s                               
   Epoch 067/250 ( 26.8%) | train loss 0.1110 acc  95.97% | test loss 0.3676 acc  90.20% | best  91.52% | lr 7.0e-04 | time  14.4s                               
   Epoch 068/250 ( 27.2%) | train loss 0.1036 acc  96.17% | test loss 0.3119 acc  91.19% | best  91.52% | lr 7.0e-04 | time  14.4s                               
   Epoch 069/250 ( 27.6%) | train loss 0.0995 acc  96.32% | test loss 0.3747 acc  90.42% | best  91.52% | lr 7.0e-04 | time  14.5s                               
   Epoch 070/250 ( 28.0%) | train loss 0.1144 acc  95.79% | test loss 0.3918 acc  89.10% | best  91.52% | lr 7.0e-04 | time  14.9s                               
   Epoch 071/250 ( 28.4%) | train loss 0.0996 acc  96.27% | test loss 0.3355 acc  91.41% | best  91.52% | lr 7.0e-04 | time  15.1s                               
   Epoch 072/250 ( 28.8%) | train loss 0.0919 acc  96.52% | test loss 0.3621 acc  90.75% | best  91.52% | lr 7.0e-04 | time  15.1s                               
   Epoch 073/250 ( 29.2%) | train loss 0.0933 acc  97.03% | test loss 0.4074 acc  88.33% | best  91.52% | lr 7.0e-04 | time  15.0s                               
   Epoch 074/250 ( 29.6%) | train loss 0.0891 acc  96.88% | test loss 0.3681 acc  89.32% | best  91.52% | lr 7.0e-04 | time  14.5s                               
   Epoch 075/250 ( 30.0%) | train loss 0.0962 acc  96.70% | test loss 0.3725 acc  89.98% | best  91.52% | lr 7.0e-04 | time  14.8s                               
   Epoch 076/250 ( 30.4%) | train loss 0.0851 acc  96.98% | test loss 0.3281 acc  90.64% | best  91.52% | lr 7.0e-04 | time  14.9s                               
   Epoch 077/250 ( 30.8%) | train loss 0.1045 acc  96.50% | test loss 0.3418 acc  90.86% | best  91.52% | lr 7.0e-04 | time  15.0s                               
   Epoch 078/250 ( 31.2%) | train loss 0.0880 acc  96.77% | test loss 0.3350 acc  89.87% | best  91.52% | lr 7.0e-04 | time  15.0s                               
   Epoch 079/250 ( 31.6%) | train loss 0.0827 acc  96.98% | test loss 0.2988 acc  91.41% | best  91.52% | lr 7.0e-04 | time  15.0s                               
   Epoch 080/250 ( 32.0%) | train loss 0.0820 acc  97.00% | test loss 0.4183 acc  88.66% | best  91.52% | lr 7.0e-04 | time  15.2s                               
⭐ Epoch 081/250 ( 32.4%) | train loss 0.0825 acc  96.95% | test loss 0.2896 acc  91.74% | best  91.74% | lr 7.0e-04 | time  15.5s                               
   Epoch 082/250 ( 32.8%) | train loss 0.0974 acc  96.52% | test loss 0.3541 acc  90.75% | best  91.74% | lr 7.0e-04 | time  16.0s                               
   Epoch 083/250 ( 33.2%) | train loss 0.0884 acc  96.90% | test loss 0.3705 acc  89.65% | best  91.74% | lr 7.0e-04 | time  15.6s                               
   Epoch 084/250 ( 33.6%) | train loss 0.0764 acc  97.23% | test loss 0.3031 acc  90.64% | best  91.74% | lr 7.0e-04 | time  15.6s                               
